DOMAIN	ABREVATION	SPECIES	GROUPS	BRC purpose	STRAIN	DATA SOURCE	VERSION (if there is)	URL	PROCESSING	NCBI Tax ID	ANNOTATION PRESENT IN FASTA?	Linkout url
BACTERIA (30=16+14 NEW)												
	aae	Aquifex aeolicus	Aquifex		VF5	GenBank		ftp://ftp.ncbi.nih.gov/genomes/Bacteria/Aquifex_aeolicus/	GenBank	224324	annotation	http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=
	tma	Thermotoga maritima	Thermotoga		MSB8	GenBank		ftp://ftp.ncbi.nih.gov/genomes/Bacteria/Thermotoga_maritima/	GenBank	243274	annotation	http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=
	det	Dehalococcoides ethenogenes	Green nonsulfur bacteria		195	GenBank		ftp://ftp.ncbi.nih.gov/genomes/Bacteria/Dehalococcoides_ethenogenes_195/	GenBank	243164	annotation	http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=
	dra	Deinococcus radiodurans	Deinococci		R1	GenBank		ftp://ftp.ncbi.nih.gov/genomes/Bacteria/Deinococcus_radiodurans/	GenBank	243230	annotation	http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=
	tpa	Treponema pallidum	Spirochetes		subsp. pallidum str. Nichols	GenBank		ftp://ftp.ncbi.nih.gov/genomes/Bacteria/Treponema_pallidum/	GenBank	243276	annotation	http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=
	cte	Chlorobium tepidum	Green sulfur bacteria		TLS	GenBank		ftp://ftp.ncbi.nih.gov/genomes/Bacteria/Chlorobium_tepidum_TLS/	GenBank	194439	annotation	http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=
	rba	Rhodopirellula baltica	Planctomyces/Pirella	the marine planctomycete Pirellula sp. strain 1	SH_1	GenBank		ftp://ftp.ncbi.nih.gov/genomes/Bacteria/Pirellula_sp/	GenBank	243090	annotation	http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=
	cpn	Chlamydophila pneumoniae	Chlamydia		CWL029	GenBank		ftp://ftp.ncbi.nih.gov/genomes/Bacteria/Chlamydophila_pneumoniae_CWL029/	GenBank	115713	annotation	http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=
	syn	Synechococcus sp.	Cyanobacteria		WH8102	GenBank		ftp://ftp.ncbi.nih.gov/genomes/Bacteria/Synechococcus_sp_WH8102/	GenBank	84588	annotation	http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=
	mtu	Mycobacterium tuberculosis	Actinobacteria	BioHealthBase	H37Rv	GenBank		ftp://ftp.ncbi.nih.gov/genomes/Bacteria/Mycobacterium_tuberculosis_H37Rv/	GenBank	83332	annotation	http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=
	ban	Bacillus anthracis Ames	Gram-positive, Firmicutes	Pathema	Ames	GenBank		ftp://ftp.ncbi.nih.gov/genomes/Bacteria/Bacillus_anthracis_Ames/	GenBank	261594	annotation	http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=
	wsu	Wolinella succinogenes	epsilon-proteobacteria	pathogenic Campylobacter jejuni subsp. jejuni	DSM 1740	GenBank		ftp://ftp.ncbi.nih.gov/genomes/Bacteria/Wolinella_succinogenes/	GenBank	273121	annotation	http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=
